tweet_id,text,image,label,label,split
article_1918,Tân binh Man City gây ngỡ ngàng - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_1918_image.png,clickbait,1,test
article_2726,Vietnam Airlines được vinh danh tại chương trình Vinh quang Việt Nam 2025 - Tạp chí Giáo dục Việt Nam,/root/mvsa/data/ViClickbait-2025/images/article_2726_image.png,non-clickbait,0,test
article_1126,Khánh Hòa siết quản lý môi giới và sàn giao dịch bất động sản,/root/mvsa/data/ViClickbait-2025/images/article_1126_image.png,non-clickbait,0,test
article_1639,"Kỳ thi tốt nghiệp THPT: Hà Nội siết chặt quy chế, phòng ngừa gian lận công nghệ cao - Báo Điện tử Tiếng nói Việt Nam",/root/mvsa/data/ViClickbait-2025/images/article_1639_image.png,non-clickbait,0,test
article_1325,Giá trị hàng hóa từ cây nghệ Bắc Kạn - Tạp chí Công thương,/root/mvsa/data/ViClickbait-2025/images/article_1325_image.png,non-clickbait,0,test
article_2146,Chấn động với vụ rỉ mật khẩu lớn nhất trong lịch sử,/root/mvsa/data/ViClickbait-2025/images/article_2146_image.png,clickbait,1,test
article_3777,Say đắm sắc xanh mùa lúa non ở Y Tý,/root/mvsa/data/ViClickbait-2025/images/article_3777_image.png,non-clickbait,0,test
article_2207,Hồng Nhung bật khóc vì không thể hát sau ca mổ ung thư - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_2207_image.png,non-clickbait,0,test
article_0695,"Phải đến khi “anh Long” sang Việt Nam, nhiều người mới gật gù: Sơn Tùng quá giống G-Dragon!",/root/mvsa/data/ViClickbait-2025/images/article_0695_image.png,clickbait,1,test
article_2678,Nguyễn Hoàng Phương Linh chính thức đăng quang Hoa hậu Hoàn vũ Việt Nam 2025!,/root/mvsa/data/ViClickbait-2025/images/article_2678_image.png,non-clickbait,0,test
article_2618,Danh sách cán bộ nhận 71 tỷ đồng hối lộ để thuốc được 'tuồn êm' vào bệnh viện,/root/mvsa/data/ViClickbait-2025/images/article_2618_image.png,non-clickbait,0,test
article_1974,'Đặng Thùy Trâm và cuốn nhật ký thứ ba' (kỳ cuối): Nỗi đau ở lại,/root/mvsa/data/ViClickbait-2025/images/article_1974_image.png,non-clickbait,0,test
article_3197,"Lộ clip Tiến Luật sượng trân khi bị MC coi thường ngay tại thảm đỏ, netizen bất bình ""vô duyên vừa thôi""",/root/mvsa/data/ViClickbait-2025/images/article_3197_image.png,clickbait,1,test
article_2155,"Apple khiến hàng tá iPhone bị hôi của biến thành ""cục gạch""",/root/mvsa/data/ViClickbait-2025/images/article_2155_image.png,clickbait,1,test
article_2078,Thêm 4 nhóm người không mất tiền đóng BHYT từ ngày 1/7,/root/mvsa/data/ViClickbait-2025/images/article_2078_image.png,non-clickbait,0,test
article_2392,Giá vàng hôm nay (14/6): Vàng nhẫn vẫn là lựa chọn hợp lý,/root/mvsa/data/ViClickbait-2025/images/article_2392_image.png,non-clickbait,0,test
article_0294,Việt Nam kêu gọi các bên chấm dứt hành động quân sự ở Trung Đông,/root/mvsa/data/ViClickbait-2025/images/article_0294_image.png,non-clickbait,0,test
article_2023,Báo Tuổi Trẻ: Người thầy của đứa trẻ nghèo năm ấy,/root/mvsa/data/ViClickbait-2025/images/article_2023_image.png,non-clickbait,0,test
article_2291,Tỉ phú Jeff Bezos và Lauren Sánchez quyên góp từ thiện trước lễ cưới,/root/mvsa/data/ViClickbait-2025/images/article_2291_image.png,non-clickbait,0,test
article_2718,Giá điều hòa Samsung Inverter tháng 6: Giảm kịch cỡ 15 triệu đồng - Tạp chí Người Đưa Tin,/root/mvsa/data/ViClickbait-2025/images/article_2718_image.png,non-clickbait,0,test
article_3639,Gói thầu xây lắp hơn 42 tỷ đồng tại Đồng Nai: Nhà thầu nào vượt qua tiêu chí khó - Chuyên trang Đầu Tư Chứng Khoán - Báo Đầu Tư,/root/mvsa/data/ViClickbait-2025/images/article_3639_image.png,non-clickbait,0,test
article_0923,Giá vàng bị thổi bay 1 triệu đồng/lượng khi lực bán tăng,/root/mvsa/data/ViClickbait-2025/images/article_0923_image.png,non-clickbait,0,test
article_1887,"Không uống được sữa, đây là 5 loại sinh tố giàu canxi giúp ngừa loãng xương hiệu quả",/root/mvsa/data/ViClickbait-2025/images/article_1887_image.png,clickbait,1,test
article_0875,Vệ tinh Trung Quốc truyền dữ liệu nhanh gấp 5 lần Starlink,/root/mvsa/data/ViClickbait-2025/images/article_0875_image.png,non-clickbait,0,test
article_3467,"Lô xe VinFast VF 6, VF 7 đầu tiên cập bến Ấn Độ - Tạp chí Tri thức",/root/mvsa/data/ViClickbait-2025/images/article_3467_image.png,non-clickbait,0,test
article_2841,"Độc đáo giải marathon quốc tế VTV 2025, tiền thưởng 500 triệu đồng",/root/mvsa/data/ViClickbait-2025/images/article_2841_image.png,non-clickbait,0,test
article_1344,Ngân hàng có vốn nhà nước chỉ được chia cổ tức bằng cổ phiếu khi đáp ứng 2 điều kiện - Tạp chí VnEconomy,/root/mvsa/data/ViClickbait-2025/images/article_1344_image.png,non-clickbait,0,test
article_2299,Nhớ Trường Sa - Thơ của Hoàng Thụy Anh,/root/mvsa/data/ViClickbait-2025/images/article_2299_image.png,non-clickbait,0,test
article_3317,Nhà hàng sao xanh Michelin chọn phong cách ẩn mình,/root/mvsa/data/ViClickbait-2025/images/article_3317_image.png,non-clickbait,0,test
article_3402,Đề xuất bỏ quy định lái xe tối đa 48 giờ một tuần: Tài xế nói gì?,/root/mvsa/data/ViClickbait-2025/images/article_3402_image.png,clickbait,1,test
article_1707,Inter nhận bàn thua lịch sử ở Club World Cup,/root/mvsa/data/ViClickbait-2025/images/article_1707_image.png,non-clickbait,0,test
article_2643,Nhà sáng lập Tesla đánh giá Grok: Quá nhiều nội dung vô dụng,/root/mvsa/data/ViClickbait-2025/images/article_2643_image.png,non-clickbait,0,test
article_0108,'Thành công của bà con cũng là thành công của đất nước',/root/mvsa/data/ViClickbait-2025/images/article_0108_image.png,non-clickbait,0,test
article_3701,Người đàn ông 67 tuổi ở Hà Nội phát hiện ung thư đại tràng thừa nhận chủ quan với dấu hiệu báo bệnh này,/root/mvsa/data/ViClickbait-2025/images/article_3701_image.png,clickbait,1,test
article_2708,Các chuyên gia nghi ngờ năng lực sản xuất điện thoại tại Mỹ - Tạp chí Một Thế Giới,/root/mvsa/data/ViClickbait-2025/images/article_2708_image.png,non-clickbait,0,test
article_2385,"Giá vàng hôm nay (17/6): Vàng miếng giảm mạnh, vàng nhẫn biến động nhẹ",/root/mvsa/data/ViClickbait-2025/images/article_2385_image.png,non-clickbait,0,test
article_1763,Vỡ òa bữa tiệc pháo hoa cùng rock của Bồ Đào Nha và Anh,/root/mvsa/data/ViClickbait-2025/images/article_1763_image.png,non-clickbait,0,test
article_3231,"Khi Phan Mạnh Quỳnh ""buông mic""",/root/mvsa/data/ViClickbait-2025/images/article_3231_image.png,clickbait,1,test
article_0452,Dự báo thời tiết thành phố Hà Nội trong ngày 21/6,/root/mvsa/data/ViClickbait-2025/images/article_0452_image.png,non-clickbait,0,test
article_1961,Ngọc Khuê: 'Chồng giúp tôi mở lòng sau một lần đổ vỡ',/root/mvsa/data/ViClickbait-2025/images/article_1961_image.png,non-clickbait,0,test
article_1321,Giá vàng hôm nay ngày 23/6: Vàng nhẫn ngược dòng bật tăng - Chuyên trang Đầu Tư Chứng Khoán - Báo Đầu Tư,/root/mvsa/data/ViClickbait-2025/images/article_1321_image.png,non-clickbait,0,test
article_0917,Khát vọng năng lượng xanh trên quê hương Đồng Khởi,/root/mvsa/data/ViClickbait-2025/images/article_0917_image.png,non-clickbait,0,test
article_3734,"Đi chợ gặp ""vua của các loại rau"" này mua ngay, về rim ăn với cơm vừa ngon rẻ lại đại bổ",/root/mvsa/data/ViClickbait-2025/images/article_3734_image.png,clickbait,1,test
article_1252,"Sau sáp nhập, người dân tỉnh, thành nào ‘giàu’ nhất cả nước?",/root/mvsa/data/ViClickbait-2025/images/article_1252_image.png,clickbait,1,test
article_2669,Google hợp nhất tên miền: Chiến lược SEO nội địa bước vào giai đoạn mới,/root/mvsa/data/ViClickbait-2025/images/article_2669_image.png,non-clickbait,0,test
article_1640,Cần Thơ hỗ trợ học bổng cho gần 300 thí sinh thi tốt nghiệp trung học phổ thông - Báo Nhân Dân,/root/mvsa/data/ViClickbait-2025/images/article_1640_image.png,non-clickbait,0,test
article_2012,Vì sao muốn thành công và hạnh phúc phải nâng trình giao tiếp?,/root/mvsa/data/ViClickbait-2025/images/article_2012_image.png,clickbait,1,test
article_2337,"Bỏ nghề MC truyền hình, cô gái Nùng làm ngô nếp bản địa bán cả triệu đồng/kg",/root/mvsa/data/ViClickbait-2025/images/article_2337_image.png,clickbait,1,test
article_3611,TP HCM: Thu gom rác như thế nào khi thực hiện chính quyền địa phương 2 cấp? - Báo Người Lao Động,/root/mvsa/data/ViClickbait-2025/images/article_3611_image.png,non-clickbait,0,test
article_2007,Phim kinh dị '28 Years Later' nhận phản hồi tốt,/root/mvsa/data/ViClickbait-2025/images/article_2007_image.png,non-clickbait,0,test
article_0993,"Fan cuồng lao lên sân khấu lúc đang biểu diễn, G-Dragon phản ứng gây xôn xao",/root/mvsa/data/ViClickbait-2025/images/article_0993_image.png,clickbait,1,test
article_3622,Đà Nẵng: Đầu tư 490 tỷ đồng xây dựng không gian đổi mới sáng tạo - Báo Kiểm Toán,/root/mvsa/data/ViClickbait-2025/images/article_3622_image.png,non-clickbait,0,test
article_2511,Sinh viên truyền thông nhận lương tháng 9-17 triệu đồng sau tốt nghiệp,/root/mvsa/data/ViClickbait-2025/images/article_2511_image.png,non-clickbait,0,test
article_3178,"""Anh Long"" G-Dragon đội nón lá che kín mặt, lên đường ra sân bay về Hàn Quốc!",/root/mvsa/data/ViClickbait-2025/images/article_3178_image.png,non-clickbait,0,test
article_3593,"PC Quảng Nam tiếp nhận, bán điện trực tiếp đến hộ dân từ 5 hợp tác xã - Chuyên trang Công an Đà Nẵng - Báo Công an Nhân dân",/root/mvsa/data/ViClickbait-2025/images/article_3593_image.png,non-clickbait,0,test
article_1389,Viêm xoang biến chứng hốc mắt,/root/mvsa/data/ViClickbait-2025/images/article_1389_image.png,non-clickbait,0,test
article_3195,Tú Dưa: 'Tôi hạnh phúc khi con gái nối nghiệp',/root/mvsa/data/ViClickbait-2025/images/article_3195_image.png,non-clickbait,0,test
article_2883,Trần Quyết Chiến nói gì trước ngày xuất trận tại World Cup billiards TP.HCM?,/root/mvsa/data/ViClickbait-2025/images/article_2883_image.png,clickbait,1,test
article_1226,Mặt trời giả xuất hiện ở Việt Nam đúng ngày hạ chí: Báo hiệu điều gì?,/root/mvsa/data/ViClickbait-2025/images/article_1226_image.png,clickbait,1,test
article_0572,Tòa án tối cao Mỹ bác tiêu chuẩn khí thải ôtô của California,/root/mvsa/data/ViClickbait-2025/images/article_0572_image.png,non-clickbait,0,test
article_0357,Đề xuất phá dỡ 4 biệt thự cũ để mở rộng Quảng trường Ba Đình,/root/mvsa/data/ViClickbait-2025/images/article_0357_image.png,non-clickbait,0,test
article_1018,Nơi đây có thêm 1.000 triệu phú mỗi ngày,/root/mvsa/data/ViClickbait-2025/images/article_1018_image.png,clickbait,1,test
article_2870,Top đội bóng,/root/mvsa/data/ViClickbait-2025/images/article_2870_image.png,clickbait,1,test
article_2832,Highlight CLB HAGL 3-3 CLB Quảng Nam: Đội khách trở về từ 'cửa xuống hạng' | Vòng 26 V-League 2024-2025,/root/mvsa/data/ViClickbait-2025/images/article_2832_image.png,non-clickbait,0,test
article_2116,"Học trò lớp 2 viết bài văn về bố, câu nào cũng đầy ắp yêu thương",/root/mvsa/data/ViClickbait-2025/images/article_2116_image.png,non-clickbait,0,test
article_3449,"Kawasaki trình làng xe ga giá rẻ chỉ 36 triệu đồng, cạnh tranh Honda Airblade",/root/mvsa/data/ViClickbait-2025/images/article_3449_image.png,non-clickbait,0,test
article_2497,Giành học bổng trường top 4 Mỹ với điểm đại học trung bình khá,/root/mvsa/data/ViClickbait-2025/images/article_2497_image.png,non-clickbait,0,test
article_3468,BYD làm rõ tin đồn về sedan điện Seal - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_3468_image.png,non-clickbait,0,test
article_2842,"Nguyên Thanh, Ngọc Hoa vô địch nội dung gian khó nhất của Tiền Phong Marathon",/root/mvsa/data/ViClickbait-2025/images/article_2842_image.png,non-clickbait,0,test
article_2017,"Tenor Thế Huy: Được hát để được thấy, và thấu",/root/mvsa/data/ViClickbait-2025/images/article_2017_image.png,non-clickbait,0,test
article_3603,TP. Hồ Chí Minh đặt mục tiêu hoàn thành cải tạo hơn 500 chung cư cũ trong 10 năm - Báo Thời Báo Ngân Hàng,/root/mvsa/data/ViClickbait-2025/images/article_3603_image.png,non-clickbait,0,test
article_1152,Động lực cho thị trường căn hộ cao cấp Hải Phòng,/root/mvsa/data/ViClickbait-2025/images/article_1152_image.png,non-clickbait,0,test
article_3726,"Tôm làm cách này ngon bổ gấp nhiều lần, ăn không muốn dừng",/root/mvsa/data/ViClickbait-2025/images/article_3726_image.png,clickbait,1,test
article_1320,Động thái bất thường của NSƯT Việt Anh - Báo Tiền Phong,/root/mvsa/data/ViClickbait-2025/images/article_1320_image.png,clickbait,1,test
article_3340,"Du khách quốc tế kể chuyện 'vượt nắng, ngâm đá' ở giải chạy Quy Nhơn",/root/mvsa/data/ViClickbait-2025/images/article_3340_image.png,clickbait,1,test
article_2587,Nam chính ‘Độc đạo’ tái xuất với phim điện ảnh,/root/mvsa/data/ViClickbait-2025/images/article_2587_image.png,non-clickbait,0,test
article_2383,Giá vàng hôm nay (18/6): Vàng nhẫn có mức giá gây bất ngờ,/root/mvsa/data/ViClickbait-2025/images/article_2383_image.png,clickbait,1,test
article_2002,Dấu ấn Xuân Hạnh khi giữ vương miện Miss Cosmo,/root/mvsa/data/ViClickbait-2025/images/article_2002_image.png,non-clickbait,0,test
article_1316,Bất ngờ với trụ sở công ty có hàng ngàn chai nước mắm bị vứt bỏ ở Quảng Nam,/root/mvsa/data/ViClickbait-2025/images/article_1316_image.png,clickbait,1,test
article_1156,Trung Nam Group đầu tư gần 3.900 tỷ đồng xây khu công nghiệp Cà Ná,/root/mvsa/data/ViClickbait-2025/images/article_1156_image.png,non-clickbait,0,test
article_3193,"Ngủ gật khi lái xe, nam ca sĩ gặp tai nạn và bị thương nặng",/root/mvsa/data/ViClickbait-2025/images/article_3193_image.png,non-clickbait,0,test
article_1295,"Loại lá mọc bờ bụi thành đặc sản có mùi thơm lạ, giá 100.000 đồng/kg, trồng 2 tháng bán ""hốt bạc""",/root/mvsa/data/ViClickbait-2025/images/article_1295_image.png,clickbait,1,test
article_0251,Antony từ chối đến Serie A - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_0251_image.png,non-clickbait,0,test
article_2930,Hội An 2025: Khi phố cổ lên đèn và ký ức bừng sáng,/root/mvsa/data/ViClickbait-2025/images/article_2930_image.png,clickbait,1,test
article_0106,Chung dòng máu Lạc Hồng: Gặp Việt Nam ở Hungary,/root/mvsa/data/ViClickbait-2025/images/article_0106_image.png,non-clickbait,0,test
article_0130,"Giải thể 44 Bộ chỉ huy Bộ đội Biên phòng các tỉnh, thành phố",/root/mvsa/data/ViClickbait-2025/images/article_0130_image.png,non-clickbait,0,test
article_2441,Cảnh sát giao thông Hà Nội bắt giữ 2 đối tượng trộm xe máy trong đêm - Báo Quân Đội Nhân Dân,/root/mvsa/data/ViClickbait-2025/images/article_2441_image.png,non-clickbait,0,test
article_1046,"Công ty Ăn Cùng Bà Tuyết giải thể, bất ngờ lý do sản phẩm vẫn bán rầm rộ, doanh thu cực khủng",/root/mvsa/data/ViClickbait-2025/images/article_1046_image.png,clickbait,1,test
article_1982,Người mẫu Lê Thu Trang nhận lời cầu hôn,/root/mvsa/data/ViClickbait-2025/images/article_1982_image.png,non-clickbait,0,test
article_0295,Iran cảnh báo căn cứ Mỹ ở Trung Đông là mục tiêu 'dễ tổn thương',/root/mvsa/data/ViClickbait-2025/images/article_0295_image.png,non-clickbait,0,test
article_3123,"Nvidia 'làm trùm' thị trường card đồ họa, AMD và Intel hụt hơi bám đuổi",/root/mvsa/data/ViClickbait-2025/images/article_3123_image.png,clickbait,1,test
article_1006,"""Mỗi chiếc B-2 giá hơn 2,2 tỷ USD”: Mỹ ""đốt” chi phí khủng tấn công các địa điểm hạt nhân của Iran",/root/mvsa/data/ViClickbait-2025/images/article_1006_image.png,clickbait,1,test
article_3479,Mitsubishi hé lộ mẫu xe mới bằng máy bay trực thăng - Báo Tiền Phong,/root/mvsa/data/ViClickbait-2025/images/article_3479_image.png,clickbait,1,test
article_0708,Cô gái 28 tuổi gây sững sờ khi ăn 12kg hàu một lúc,/root/mvsa/data/ViClickbait-2025/images/article_0708_image.png,clickbait,1,test
article_1704,Real thắng lớn dù mất người ở Club World Cup,/root/mvsa/data/ViClickbait-2025/images/article_1704_image.png,non-clickbait,0,test
article_2851,Đội tuyển Việt Nam đánh rơi chiến thắng tại giải bóng chuyền AVC Nations Cup 2025,/root/mvsa/data/ViClickbait-2025/images/article_2851_image.png,non-clickbait,0,test
article_2310,Việt Nam Tân văn - tờ báo đối ngoại hiếm hoi trong kháng chiến chống Pháp,/root/mvsa/data/ViClickbait-2025/images/article_2310_image.png,non-clickbait,0,test
article_1944,Bế mạc Giải pickleball gia đình Điện Biên năm 2025 - Báo Văn hóa,/root/mvsa/data/ViClickbait-2025/images/article_1944_image.png,non-clickbait,0,test
article_2697,Hãy thử sức mình với xu hướng kẻ viền môi màu nâu,/root/mvsa/data/ViClickbait-2025/images/article_2697_image.png,non-clickbait,0,test
article_2849,Tinh hoa võ học xứ Huế: Võ kinh thời Nguyễn,/root/mvsa/data/ViClickbait-2025/images/article_2849_image.png,non-clickbait,0,test
article_3655,Chính sách bảo hiểm thất nghiệp có nhiều thay đổi từ 2026,/root/mvsa/data/ViClickbait-2025/images/article_3655_image.png,non-clickbait,0,test
article_1604,Lịch thi đấu Ngoại Hạng Anh 2025/2026 ngày hôm nay,/root/mvsa/data/ViClickbait-2025/images/article_1604_image.png,non-clickbait,0,test
article_3711,Dấu hiệu cảnh báo ung thư dương vật - nam giới nên chú ý,/root/mvsa/data/ViClickbait-2025/images/article_3711_image.png,clickbait,1,test
article_1005,Các nước đổ xô dự trữ vàng khi Mỹ tấn công Iran,/root/mvsa/data/ViClickbait-2025/images/article_1005_image.png,non-clickbait,0,test
article_3779,"Cát Bà thêm điểm check-in mới ""tranh vẽ cô gái bí ẩn”",/root/mvsa/data/ViClickbait-2025/images/article_3779_image.png,clickbait,1,test
article_2287,Thầy giáo trẻ lan tỏa yêu thương qua âm nhạc,/root/mvsa/data/ViClickbait-2025/images/article_2287_image.png,non-clickbait,0,test
article_0614,"Tổng giám đốc bỏ trốn sang Mỹ, căn cứ nào để viện kiểm sát buộc tội chủ mưu?",/root/mvsa/data/ViClickbait-2025/images/article_0614_image.png,non-clickbait,0,test
article_1761,Phú Quốc có gì mà khách Trung Quốc nhộn nhịp đến chơi?,/root/mvsa/data/ViClickbait-2025/images/article_1761_image.png,clickbait,1,test
article_3712,Hai căn bệnh 'đặc biệt' của quý ông có thể gây vô sinh và mất 'bản lĩnh phòng the',/root/mvsa/data/ViClickbait-2025/images/article_3712_image.png,clickbait,1,test
