tweet_id,text,image,label,label,split
article_2669,Google hợp nhất tên miền: Chiến lược SEO nội địa bước vào giai đoạn mới,/root/mvsa/data/ViClickbait-2025/images/article_2669_image.png,non-clickbait,0,test
article_3468,BYD làm rõ tin đồn về sedan điện Seal - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_3468_image.png,non-clickbait,0,test
article_1040,UNIQLO đồng hành cùng tầm nhìn phát triển bền vững tại Việt Nam ra sao?,/root/mvsa/data/ViClickbait-2025/images/article_1040_image.png,non-clickbait,0,test
article_2718,Giá điều hòa Samsung Inverter tháng 6: Giảm kịch cỡ 15 triệu đồng - Tạp chí Người Đưa Tin,/root/mvsa/data/ViClickbait-2025/images/article_2718_image.png,non-clickbait,0,test
article_1140,Cải tạo nhà phố với phần lõi rỗng cho gia chủ Gen Z,/root/mvsa/data/ViClickbait-2025/images/article_1140_image.png,non-clickbait,0,test
article_1508,Ukraine nêu cách ngăn Nga sản xuất tên lửa Oreshnik ‘bất khả chiến bại’,/root/mvsa/data/ViClickbait-2025/images/article_1508_image.png,non-clickbait,0,test
article_1030,"Nhờ tuyệt chiêu này, căn hộ sang trọng giữa phố vẫn bình yên",/root/mvsa/data/ViClickbait-2025/images/article_1030_image.png,clickbait,1,test
article_2385,"Giá vàng hôm nay (17/6): Vàng miếng giảm mạnh, vàng nhẫn biến động nhẹ",/root/mvsa/data/ViClickbait-2025/images/article_2385_image.png,non-clickbait,0,test
article_1761,Phú Quốc có gì mà khách Trung Quốc nhộn nhịp đến chơi?,/root/mvsa/data/ViClickbait-2025/images/article_1761_image.png,clickbait,1,test
article_1548,"'Các đứa con' của bầu Đức khóc, tặng quà cho nhân viên CLB HAGL",/root/mvsa/data/ViClickbait-2025/images/article_1548_image.png,non-clickbait,0,test
article_2678,Nguyễn Hoàng Phương Linh chính thức đăng quang Hoa hậu Hoàn vũ Việt Nam 2025!,/root/mvsa/data/ViClickbait-2025/images/article_2678_image.png,non-clickbait,0,test
article_3123,"Nvidia 'làm trùm' thị trường card đồ họa, AMD và Intel hụt hơi bám đuổi",/root/mvsa/data/ViClickbait-2025/images/article_3123_image.png,clickbait,1,test
article_1237,"Tưởng bị phạt nguội, tài xế vượt đèn đỏ nhận thông báo không ngờ từ CSGT",/root/mvsa/data/ViClickbait-2025/images/article_1237_image.png,clickbait,1,test
article_0890,Những kịch bản kinh tế sau khi Mỹ tấn công Iran,/root/mvsa/data/ViClickbait-2025/images/article_0890_image.png,non-clickbait,0,test
article_0166,13 nghìn người bất ngờ trước động thái mới nhất của Minh Hằng,/root/mvsa/data/ViClickbait-2025/images/article_0166_image.png,clickbait,1,test
article_3471,Gần 1.000 người đội nắng đổi xe máy xăng lấy xe điện - Chuyên trang Xe Giao Thông - Báo Xây Dựng,/root/mvsa/data/ViClickbait-2025/images/article_3471_image.png,clickbait,1,test
article_1918,Tân binh Man City gây ngỡ ngàng - Tạp chí Tri thức,/root/mvsa/data/ViClickbait-2025/images/article_1918_image.png,clickbait,1,test
article_3603,TP. Hồ Chí Minh đặt mục tiêu hoàn thành cải tạo hơn 500 chung cư cũ trong 10 năm - Báo Thời Báo Ngân Hàng,/root/mvsa/data/ViClickbait-2025/images/article_3603_image.png,non-clickbait,0,test
